,State,Year,RecV,RecV_Days,NonRec_Visits,RecVist_Hours,NonRecVist_Hours
5,California,315042,222008930.0,106321326.0,2847671.0,1275856731.0,25240653.0
8,District of Columbia,252446,206199455.0,11786600.0,110601657.0,141439835.0,51654493.0
49,Virginia,230223,134512727.0,39252601.0,222307190.0,471031818.0,107988615.0
34,North Carolina,109053,115002635.0,57782490.0,32366590.0,693390180.0,7239376.0
33,New York,266574,97038432.0,19416217.0,7656416.0,232995346.0,14379608.0
46,Utah,157521,85006649.0,44690969.0,3619215.0,536292016.0,2290823.0
9,Florida,133287,68759015.0,15060087.0,116942.0,180721427.0,359131.0
3,Arizona,254457,67701810.0,53633584.0,27572568.0,643603669.0,19703399.0
44,Tennessee,121170,59677303.0,30331224.0,73819069.0,363974996.0,38625799.0
22,Massachusetts,163584,50901286.0,6396581.0,659687.0,76759443.0,1146281.0
39,Pennsylvania,181755,49641549.0,9402969.0,2163739.0,112836140.0,237591.0
50,Washington,145404,49125281.0,22384086.0,8794139.0,268609397.0,7050913.0
53,Wyoming,84819,44374149.0,37977227.0,16616110.0,455726981.0,12975576.0
6,Colorado,133287,44232334.0,21980131.0,2270381.0,263761934.0,1298910.0
10,Georgia,121170,42778544.0,9978954.0,166449745.0,119747764.0,26516007.0
25,Mississippi,52511,40143643.0,13256631.0,42529062.0,159079706.0,42066516.0
21,Maryland,157521,37842079.0,9684487.0,158267890.0,116214177.0,112612773.0
45,Texas,169638,34280585.0,15210439.0,298536.0,182525755.0,1018870.0
29,Nevada,34340,34090926.0,21574277.0,1214621.0,258891417.0,7254397.0
27,Montana,72702,31783375.0,27821433.0,265292.0,333857384.0,1263774.0
31,New Jersey,60585,30487177.0,9534387.0,1443863.0,114412795.0,2532893.0
12,Hawaii,84819,26152163.0,7906278.0,12277821.0,94875590.0,3970821.0
43,South Dakota,72702,25783514.0,4917971.0,6620427.0,59015882.0,2268576.0
20,Maine,30297,21381510.0,11534859.0,295190.0,138418391.0,288894.0
4,Arkansas,84819,21252372.0,5903051.0,7441810.0,70836886.0,1910410.0
26,Missouri,72702,18401658.0,4934923.0,0.0,59219265.0,0.0
23,Michigan,60585,17487452.0,7891063.0,58443.0,94692926.0,218668.0
36,Ohio,96936,16634734.0,3674454.0,0.0,44093750.0,0.0
15,Indiana,36351,15774420.0,3343056.0,124037.0,40116785.0,29606.0
32,New Mexico,175701,12470128.0,3105471.0,164627.0,37266131.0,119566.0
1,Alaska,185798,12357140.0,8932545.0,5111019.0,107191051.0,4453000.0
18,Kentucky,52511,10733126.0,3983264.0,43784126.0,47799330.0,29741968.0
51,West Virginia,48468,10730366.0,2477731.0,14400.0,29732898.0,28800.0
37,Oklahoma,24234,8829758.0,3173612.0,9798940.0,38083422.0,783912.0
42,South Carolina,74724,8408928.0,1384771.0,2478062.0,16617458.0,721168.0
0,Alabama,72702,7188204.0,1822795.0,5767373.0,21873722.0,4371131.0
38,Oregon,48468,6901378.0,2115740.0,307215.0,25389011.0,155907.0
24,Minnesota,60585,6607163.0,2792792.0,0.0,33513668.0,0.0
40,Puerto Rico,12117,5479082.0,870802.0,0.0,10449666.0,0.0
35,North Dakota,36351,4293873.0,1268625.0,45945.0,15223599.0,15473.0
13,Idaho,60585,4127767.0,722078.0,10800.0,8665059.0,1080.0
52,Wisconsin,24234,3711820.0,2106099.0,3850.0,25273238.0,962.0
19,Louisiana,36351,2630260.0,454412.0,1152000.0,5453062.0,547920.0
11,Guam,12117,2271118.0,190125.0,3026.0,2281542.0,1513.0
48,Virgin Islands,48468,2012725.0,772156.0,1271390.0,9266050.0,335734.0
28,Nebraska,48468,1991964.0,546805.0,2062818.0,6561791.0,330050.0
16,Iowa,24234,967855.0,121844.0,115200.0,1462174.0,8424.0
14,Illinois,12117,890650.0,64491.0,12471.0,773922.0,102325.0
17,Kansas,60585,606649.0,93483.0,1710.0,1121954.0,565.0
47,Vermont,12117,291879.0,48644.0,0.0,583758.0,0.0
41,Rhode Island,12117,269626.0,24060.0,349218.0,288754.0,27937.0
7,Connecticut,12117,207097.0,31256.0,0.0,375094.0,0.0
2,American Samoa,12117,173301.0,28880.0,0.0,346597.0,0.0
30,New Hampshire,12117,169390.0,27225.0,0.0,326731.0,0.0
